Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1972-08-25 00:00:00-04:00,0.011330668183540707,0.011548616671937425,0.011330668183540707,0.011504705995321274,7526400,0.0,0.0
1972-08-28 00:00:00-04:00,0.011504709428848556,0.011591996175719347,0.011461333371698856,0.011461333371698856,2918400,0.0,0.0
1972-08-29 00:00:00-04:00,0.011417953663167078,0.011417953663167078,0.011330666951835155,0.011330666951835155,5836800,0.0,0.0
1972-08-30 00:00:00-04:00,0.011330666951835155,0.011330666951835155,0.011243380240503233,0.011330666951835155,1228800,0.0,0.0
1972-08-31 00:00:00-04:00,0.011243380977567824,0.011243380977567824,0.011156094260513784,0.011156094260513783,2611200,0.0,0.0
1972-09-01 00:00:00-04:00,0.011200005493004246,0.011243381537497044,0.011200005493004246,0.011243381537497044,768000,0.0,0.0
1972-09-05 00:00:00-04:00,0.011243380977567824,0.011243380977567824,0.011156094260513784,0.011156094260513783,1689600,0.0,0.0
1972-09-06 00:00:00-04:00,0.011243381537497044,0.011243381537497044,0.011243381537497044,0.011243381537497044,768000,0.0,0.0
1972-09-07 00:00:00-04:00,0.011243384971615974,0.011243384971615974,0.011200008913874626,0.011200008913874626,3532800,0.0,0.0
1972-09-08 00:00:00-04:00,0.011156094887694824,0.011156094887694824,0.011112718842923641,0.011112718842923641,1996800,0.0,0.0
1972-09-11 00:00:00-04:00,0.011200008913874626,0.011200008913874626,0.011200008913874626,0.011200008913874626,2764800,0.0,0.0
1972-09-12 00:00:00-04:00,0.011200008913874626,0.011200008913874626,0.011200008913874626,0.011200008913874626,1843200,0.0,0.0
1972-09-13 00:00:00-04:00,0.011200008913874626,0.011200008913874626,0.011200008913874626,0.011200008913874626,460800,0.0,0.0
1972-09-14 00:00:00-04:00,0.011200004012373393,0.011286755092442036,0.011156093341270157,0.011286755092442036,3840000,0.0,0.0
1972-09-15 00:00:00-04:00,0.011243384971615974,0.011243384971615974,0.011200008913874626,0.011200008913874626,1536000,0.0,0.0
1972-09-18 00:00:00-04:00,0.011243381537497044,0.011286756584541304,0.011243381537497044,0.011243381537497044,3225600,0.0,0.0
1972-09-19 00:00:00-04:00,0.011200004935235187,0.011200004935235187,0.011112718218181147,0.011156094260513783,9369600,0.0,0.0
1972-09-20 00:00:00-04:00,0.011069349013268948,0.011069349013268948,0.011069349013268948,0.011069349013268948,153600,0.0,0.0
1972-09-21 00:00:00-04:00,0.010982063838086809,0.010982063838086809,0.010720739141106606,0.010720739141106606,4300800,0.0,0.0
1972-09-22 00:00:00-04:00,0.010676825079926514,0.010676825079926514,0.010328213684260845,0.010328213684260845,2611200,0.0,0.0
1972-09-25 00:00:00-04:00,0.010284836655003902,0.010284836655003902,0.01002297643572092,0.01002297643572092,2918400,0.0,0.0
1972-09-26 00:00:00-04:00,0.010022974268400197,0.010022974268400197,0.009936223177374442,0.009979598224163055,2150400,0.0,0.0
1972-09-27 00:00:00-04:00,0.009892311888008376,0.009892311888008376,0.009761650115251541,0.009761650115251541,1996800,0.0,0.0
1972-09-28 00:00:00-04:00,0.00993622532593652,0.010110263175481915,0.00993622532593652,0.01002297643572092,4300800,0.0,0.0
1972-09-29 00:00:00-04:00,0.010110260242080296,0.010154170915484427,0.010110260242080296,0.010154170915484428,768000,0.0,0.0
1972-10-02 00:00:00-04:00,0.010240924223515883,0.010633447207510473,0.010240924223515883,0.010633447207510471,4915200,0.0,0.0
1972-10-03 00:00:00-04:00,0.01072073236632121,0.010807483457028868,0.01072073236632121,0.010807483457028866,1536000,0.0,0.0
1972-10-04 00:00:00-04:00,0.010851391927403402,0.0111127164061161,0.010851391927403402,0.01102542970329523,4608000,0.0,0.0
1972-10-05 00:00:00-04:00,0.01096010798724374,0.01096010798724374,0.010720739141106606,0.010720739141106606,4147200,0.0,0.0
1972-10-06 00:00:00-04:00,0.010676823746513325,0.010676823746513325,0.01028483733534813,0.01028483733534813,29337600,0.0,0.0
1972-10-09 00:00:00-04:00,0.010371583158580831,0.010458869859576225,0.010371583158580831,0.010458869859576225,3840000,0.0,0.0
