Price,Close,High,Low,Open,Volume
Ticker,TGT,TGT,TGT,TGT,TGT
Date,,,,,
2021-07-06,210.93458557128906,212.5588114541256,208.78613794250614,211.83693619799462,2305000
2021-07-07,212.73927307128906,213.46973735000117,211.0033238277967,211.07207572104303,2035800
2021-07-08,213.62445068359375,213.9510189262116,210.59084361711072,210.82287963755414,2292700
2021-07-09,213.62445068359375,215.4893016909584,212.59319842274434,213.71038072269891,2702500
2021-07-12,216.769775390625,216.96742889963903,214.0885038488862,214.41507208271395,3056900
2021-07-13,216.3486785888672,217.80103129993054,215.27445476270597,215.27445476270597,2392900
2021-07-14,217.96435546875,218.32529316708943,216.22840577504363,217.07919592239912,2578700
2021-07-15,217.36279296875,218.73780504916,216.5893568691988,218.02451867984243,2646200
2021-07-16,215.83306884765625,218.3252762570936,215.5838546632551,218.1963615164018,3415900
2021-07-19,215.80726623535156,216.40884207028375,213.59006667789583,214.65570143737276,3187300
2021-07-20,218.89244079589844,220.32760221747452,214.57835434840675,215.79008194055035,2805200
2021-07-21,220.0440216064453,220.37058988072994,218.54012120197692,219.35652877460328,2262500
2021-07-22,220.8690185546875,221.53933316622448,219.12446701502896,221.20416274737232,2472200
2021-07-23,224.32371520996094,224.39245399531683,221.31588849691445,221.53073326213206,2016900
2021-07-26,224.1776123046875,225.48388527987333,222.65652078750549,224.19481667088814,2338000
2021-07-27,222.02915954589844,223.66200072754248,219.73463216102792,223.43855378138753,3036100
2021-07-28,221.2213897705078,222.45887160409958,220.32762812153095,221.10966628611445,2810500
2021-07-29,224.8651580810547,225.01984003827596,221.1870162610457,221.88311129471256,3055000
2021-07-30,224.34088134765625,226.41198792069113,222.3471419649881,224.07447595113234,2806600
2021-08-02,221.06666564941406,225.4237238694908,218.96979171392277,225.226057240115,3174900
2021-08-03,225.3292236328125,226.274519716928,221.68543820281707,221.81433983009003,2545000
2021-08-04,223.89402770996094,225.92217594961505,223.64480043672143,224.46982322547962,2397200
2021-08-05,224.64166259765625,225.76744697574583,223.4213591192863,224.9596286275672,2202900
2021-08-06,223.51589965820312,226.00809372142237,222.87136535429292,225.0971540033227,2441900
2021-08-09,225.50967407226562,225.8362423283267,223.50730607112015,223.52451043796694,2508800
2021-08-10,226.936279296875,228.3800301073171,225.16596018322443,225.9909568997381,3369800
2021-08-11,226.02532958984375,229.5058048255823,225.54407934061007,227.34875466215058,2939000
2021-08-12,225.05421447753906,227.39172679879175,224.34091510120328,226.83313560030012,2266400
2021-08-13,224.7620086669922,226.61827060001255,223.97136838534416,225.75028934942634,3070400
2021-08-16,226.1456298828125,226.43781566192513,220.64560828092732,223.51593164462722,3397400
2021-08-17,219.59190368652344,224.59342378374134,217.3498579262823,224.59342378374134,6620500
2021-08-18,213.49525451660156,220.57496290305318,212.34835623189144,214.71114064829646,8908000
2021-08-19,211.62400817871094,215.17679684814266,210.75304810490934,210.86515500345885,5067600
2021-08-20,218.51397705078125,219.01412902336682,212.66739246771763,212.71051151257734,4146100
2021-08-23,217.76377868652344,220.08344406944119,217.59993419359074,219.25560305812888,2952900
2021-08-24,216.14259338378906,218.60023441859354,215.82353610824302,218.60023441859354,2466600
2021-08-25,216.57374572753906,217.53093065999332,215.0733029174817,216.01323759979576,2438100
2021-08-26,214.68528747558594,216.02188598917607,213.25381915216133,215.95289813717022,2919900
2021-08-27,214.87496948242188,215.98738040974226,213.58147697219852,213.9867723447154,2661100
2021-08-30,215.03018188476562,216.77208870643753,214.84908715518048,214.90083790512298,2092700
