Price,Close,High,Low,Open,Volume
Ticker,PSMT,PSMT,PSMT,PSMT,PSMT
Date,,,,,
2024-04-08,80.51431274414062,80.80348477678062,79.93597603281091,80.11911881041293,172700
2024-04-09,80.09020233154297,80.96735217668683,79.4540341027806,80.96735217668683,243200
2024-04-10,77.62261962890625,83.76264580211095,75.41529474736751,82.28788465622372,488500
2024-04-11,77.17923736572266,77.64191119065482,76.3599263348156,77.57443869055544,329800
2024-04-12,76.58161163330078,77.19850510826889,75.8490552279951,76.78403646929215,184800
2024-04-15,76.83222198486328,77.67081494585419,76.52377526713383,77.20814119228511,178300
2024-04-16,75.37673950195312,76.8225849452434,75.04901806470343,76.36955955033062,181300
2024-04-17,76.5237808227539,77.80576557393103,76.15750261696775,76.15750261696775,185100
2024-04-18,78.50546264648438,78.87642086349959,76.77760379905268,77.0216521217148,215200
2024-04-19,80.87760162353516,80.96546288056223,78.21259847383897,78.21259847383897,281800
2024-04-22,78.98379516601562,81.03379939072934,78.93498252704693,80.67260522654486,242400
2024-04-23,79.63784790039062,80.52617989373114,79.28641773113667,79.28641773113667,174400
2024-04-24,78.98379516601562,79.84284249841825,78.78855205790387,79.08141299618998,176000
2024-04-25,78.26139831542969,78.71044624354343,78.03687807525394,78.4566414022806,152400
2024-04-26,79.54998779296875,79.59880043576197,78.30046159420378,78.30046159420378,182100
2024-04-29,80.01856231689453,80.88737371816354,79.54998627740305,79.56951431325375,137100
2024-04-30,78.6714096069336,79.69641548765146,78.44688933256596,79.43284658996699,220100
2024-05-01,79.60855865478516,81.23879951573876,78.35902509927888,78.35902509927888,145500
2024-05-02,80.06736755371094,80.51642300535478,79.65736817378932,80.01856235958512,106300
2024-05-03,80.49688720703125,80.83855332401843,79.66712450927301,80.60426905062191,94300
2024-05-06,81.16070556640625,81.55118435286644,80.59451169842714,80.59451169842714,89200
2024-05-07,82.70309448242188,83.02524004686762,81.26808919331222,81.26808919331222,109900
2024-05-08,83.71833801269531,83.82571986961722,82.02952035654839,82.2442840703922,166700
2024-05-09,83.36689758300781,84.13809107526194,82.74213455470927,83.72808428663377,103600
2024-05-10,82.8690414428711,83.35713805047324,82.61522912154429,83.1423743514862,81800
2024-05-13,82.82022094726562,84.00142117965412,82.71284655572005,83.56212980582235,97200
2024-05-14,83.97212982177734,84.09903969533029,83.30831819502264,83.69879693683644,127000
2024-05-15,84.01118469238281,84.31380964988352,82.95690169312292,84.14785114502322,96400
2024-05-16,85.16309356689453,85.89523847449655,84.01118528102347,84.18690035675849,112700
2024-05-17,85.08500671386719,85.61214451154522,84.75309713810182,85.2607143479176,86200
2024-05-20,83.49380493164062,84.94833074435755,83.4449997392888,84.94833074435755,115400
2024-05-21,83.48403930664062,83.98189992472786,82.62499197060407,83.5621365502157,94300
2024-05-22,82.5566635131836,83.46452354083657,81.83428258779458,83.02523955393757,139300
2024-05-23,81.19975280761719,82.55666079545196,80.8385586329313,82.55666079545196,114800
2024-05-24,81.80500030517578,81.91238216240342,80.72142516243419,81.25832700080863,170200
2024-05-28,81.01426696777344,81.79522446239262,79.90140737898682,81.79522446239262,134200
2024-05-29,80.14546203613281,81.72689773695743,80.06736479091013,80.3797463240376,84800
2024-05-30,81.14118194580078,81.28760496845761,79.8233151597845,80.64332132547825,92400
2024-05-31,82.14665985107422,82.20522906020466,79.99903032721318,81.26808447530212,121600
2024-06-03,81.90260314941406,83.44499004560862,81.64879085627464,82.68355316619036,110700
2024-06-04,81.02403259277344,82.3321278572969,80.3407003572407,81.34617812428006,76700
2024-06-05,81.82450866699219,81.88307787208676,80.51641343479619,81.37546071648778,91500
2024-06-06,81.43403625488281,81.90261227536932,80.87760641992188,81.55118212194523,62000
2024-06-07,80.25283813476562,81.30712852642253,80.22355353184672,80.77998333059408,66400
2024-06-10,80.17474365234375,80.19427168680305,78.69093328724355,79.57926521330515,106400
2024-06-11,79.74523162841797,79.76475221705138,78.49570541849606,79.66713437835693,115600
2024-06-12,80.50665283203125,81.83427615406703,80.40903500347981,81.17046449304914,107400
2024-06-13,77.36331176757812,80.01855848613269,76.82640252383985,80.01855848613269,198700
2024-06-14,76.87521362304688,77.48045608133728,75.66473615422905,76.58235268728247,214400
2024-06-17,77.59759521484375,77.80259489266894,75.91854172283213,76.54331222142326,129000
2024-06-18,77.4999771118164,78.38831649369504,76.99235992771648,77.55854632019943,109000
2024-06-20,78.21260070800781,79.23759908418471,77.30474074752944,77.31449731699568,144300
