Price,Close,High,Low,Open,Volume
Ticker,LOW,LOW,LOW,LOW,LOW
Date,,,,,
2024-04-08,233.5089569091797,233.6340952291307,229.06190527050725,229.3410430370177,2389200
2024-04-09,235.2415771484375,235.64585323137422,231.86297472758324,234.66403149418727,2126100
2024-04-10,228.2822265625,230.3324827879125,226.27046652643213,229.22553742120235,2955100
2024-04-11,226.62661743164062,231.29505528551957,224.46084320494316,230.0533511914221,2494600
2024-04-12,223.36351013183594,225.16350439088032,222.10255064421045,224.63408999480964,2117400
2024-04-15,221.3998565673828,226.05868835244033,220.591304447181,225.97204622787956,1933100
2024-04-16,219.80203247070312,221.24588199946817,218.81059030262557,220.36030803007364,2201000
2024-04-17,220.2929229736328,222.24693137847237,218.73357027496772,221.6212691614415,1982300
2024-04-18,220.22552490234375,223.59450676246482,219.03195215767613,221.26509821026397,1993100
2024-04-19,221.62127685546875,223.4212711904971,220.32180643640342,220.89935210878724,2112200
2024-04-22,222.57421875,224.3164615385096,220.9667346664691,223.0555019374379,1872800
2024-04-23,225.89158630371094,226.5202538869079,222.6612511482851,223.63808478286316,2189900
2024-04-24,222.7289581298828,224.74066794900398,221.31690209119924,224.57625127369437,1485100
2024-04-25,222.40980529785156,223.07713835779032,217.30314822751237,220.29170648773524,1996800
2024-04-26,222.32272338867188,225.5820869443775,222.17765420928166,222.41944601346572,2001200
2024-04-29,223.3576202392578,224.23774603049804,222.29373029843978,222.45814696969313,1527300
2024-04-30,220.5044708251953,223.68644464465257,220.21431769312838,222.44847172178154,2435200
2024-05-01,220.04989624023438,223.40596776902535,218.06720043168795,219.90481229845722,1713900
2024-05-02,222.04225158691406,222.67090437523206,218.94731944216298,222.57419650815268,1672800
2024-05-03,224.508544921875,230.33088130870897,224.36346097552175,225.93028200088833,1834700
2024-05-06,224.0926513671875,227.2359449646667,223.5994013770069,227.11988961587153,1714000
2024-05-07,223.86053466796875,227.119883526861,223.62840921880044,224.82770190280215,1912500
2024-05-08,224.4505157470703,225.3596405855907,221.4813051402662,222.04226392858817,1689200
2024-05-09,228.37722778320312,229.17997844305816,224.46019712065353,224.46019712065353,1652700
2024-05-10,227.31332397460938,229.54747802364318,226.73301770518177,228.0290330725299,1336700
2024-05-13,225.33062744140625,229.10258866597724,224.08298815095213,228.5416298759292,1983700
2024-05-14,223.97659301757812,227.42937241818484,222.31306417072975,225.21456591414423,2763200
2024-05-15,228.328857421875,229.52815018388375,227.11989829969747,227.36169012413296,2103600
2024-05-16,224.63426208496094,227.2649582079855,224.1119982589463,226.6653192303759,1847300
2024-05-17,223.5220489501953,225.39835598808335,222.59356179203326,225.0308276691313,1968800
2024-05-20,221.64573669433594,223.49302984858653,220.74627815530016,222.6515989884818,2684400
2024-05-21,217.4772491455078,224.18939286125703,214.14052476666083,224.18939286125703,5397700
2024-05-22,213.86972045898438,218.02852825056667,212.97992826945594,216.80023634380385,2769800
2024-05-23,210.33953857421875,214.56606967641272,209.70121937729985,214.47901340418596,2636600
2024-05-24,208.14405822753906,211.1035874786992,207.69915482505215,210.59099004671657,2632200
2024-05-28,208.298828125,209.6818851140591,206.94479973371378,207.7282029285153,3072400
2024-05-29,207.2349090576172,207.57340870493917,205.79382469343074,206.61592267284036,2359800
2024-05-30,208.38587951660156,209.63351887947547,206.4225162585684,208.24079556234963,2778100
2024-05-31,214.02442932128906,214.15016578338452,208.9371350164669,209.39170479410356,4598400
2024-06-03,209.61416625976562,213.76332227009263,208.90813825802257,212.47698798117878,2480500
2024-06-04,209.42074584960938,211.1616500372777,208.04736997872732,208.23113413712045,2291200
2024-06-05,212.2642059326172,212.4382889607572,208.67600879978093,209.6721899260532,1727900
2024-06-06,211.27769470214844,212.97023748490875,210.83280600647765,212.03208401898317,2033900
2024-06-07,209.55613708496094,211.0649157114599,207.6991776402082,209.18860878852593,1602400
2024-06-10,210.93919372558594,211.21966574874423,209.00485912840605,209.34335882823146,1851500
2024-06-11,211.18096923828125,211.35505225483615,207.95061949457883,210.6877045091078,1910100
2024-06-12,217.63197326660156,219.53729388191942,214.53704109581642,214.53704109581642,3609500
2024-06-13,219.41156005859375,219.93382387333764,216.04582220475305,218.55078180765227,2116600
2024-06-14,216.01683044433594,218.33802614810514,214.15018981140454,217.4288864908248,1936600
