Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
1993-01-29 00:00:00-05:00,24.192577054117347,24.192577054117347,24.072215974246117,24.175382614135742,1003200,0.0,0.0,0.0
1993-02-01 00:00:00-05:00,24.192576323525383,24.347326278686527,24.192576323525383,24.347326278686523,480500,0.0,0.0,0.0
1993-02-02 00:00:00-05:00,24.330128958058914,24.416101145189863,24.278545645780344,24.398906707763672,201300,0.0,0.0,0.0
1993-02-03 00:00:00-05:00,24.433302087930123,24.674024275988547,24.41610764592595,24.656829833984375,529400,0.0,0.0,0.0
1993-02-04 00:00:00-05:00,24.742798160182105,24.811575917402905,24.467687131298913,24.759992599487305,531500,0.0,0.0,0.0
1993-02-05 00:00:00-05:00,24.7428035736084,24.794386902809805,24.605248029071312,24.7428035736084,492100,0.0,0.0,0.0
1993-02-08 00:00:00-05:00,24.7428035736084,24.828775788944075,24.708414687474125,24.7428035736084,596100,0.0,0.0,0.0
1993-02-09 00:00:00-05:00,24.656822556962158,24.656822556962158,24.519267061525827,24.570850372314453,122100,0.0,0.0,0.0
1993-02-10 00:00:00-05:00,24.570849088752794,24.622432396846747,24.502071344627524,24.60523796081543,379600,0.0,0.0,0.0
1993-02-11 00:00:00-05:00,24.63964611499134,24.828785059349265,24.63964611499134,24.725618362426758,19500,0.0,0.0,0.0
1993-02-12 00:00:00-05:00,24.69122232117683,24.69122232117683,24.53647232055664,24.53647232055664,42500,0.0,0.0,0.0
1993-02-16 00:00:00-05:00,24.467687270865863,24.467687270865863,23.88307633115438,23.917465209960938,374800,0.0,0.0,0.0
1993-02-17 00:00:00-05:00,23.917470627379934,23.951859513975734,23.81430396759253,23.90027618408203,210900,0.0,0.0,0.0
1993-02-18 00:00:00-05:00,24.175383107107777,24.175383107107777,23.556383255147693,23.88307762145996,378100,0.0,0.0,0.0
1993-02-19 00:00:00-05:00,23.883069651369727,23.96904182434082,23.84868078218129,23.96904182434082,34900,0.0,0.0,0.0
1993-02-22 00:00:00-05:00,24.03781731628025,24.089400615242226,23.96903958433095,24.055011749267578,513600,0.0,0.0,0.0
1993-02-23 00:00:00-05:00,24.123792993493687,24.140987428984417,23.91745976760493,24.03782081604004,373700,0.0,0.0,0.0
1993-02-24 00:00:00-05:00,24.055020807826587,24.347326278686527,24.055020807826587,24.347326278686523,26300,0.0,0.0,0.0
