Date,AMZN,BJ,COST,DG,DLTR,HD,KR,LOW,PSMT,SFM,TGT,WMT,^GSPC,^IXIC
2025-07-03,223.41000366210938,109.44000244140625,981.4949951171875,111.83893585205078,101.91000366210938,362.0538635253906,68.40316009521484,223.90585327148438,105.5356216430664,162.2899932861328,99.69667053222656,97.54444885253906,6279.35009765625,20601.099609375
2025-07-07,223.47000122070312,110.48999786376953,986.6261596679688,113.9853515625,104.2300033569336,358.1185302734375,69.99005889892578,220.64991760253906,104.35761260986328,164.19000244140625,97.3398208618164,98.5262451171875,6229.97998046875,20412.51953125
2025-07-08,219.36000061035156,107.63999938964844,980.3215942382812,111.0103530883789,104.38999938964844,357.9821472167969,68.31498718261719,219.35537719726562,103.18950653076172,158.8800048828125,97.73263549804688,96.28497314453125,6225.52001953125,20418.4609375
2025-07-09,222.5399932861328,107.52999877929688,976.5926513671875,110.6754150390625,104.75,361.43048095703125,68.82437133789062,221.21871948242188,100.98197937011719,159.75,98.13502502441406,96.00729370117188,6263.259765625,20611.33984375
2025-07-10,222.25999450683594,106.69999694824219,964.7392578125,110.5867691040039,108.37000274658203,363.63189697265625,69.26518249511719,223.51358032226562,101.66502380371094,158.72000122070312,100.34815979003906,94.07347869873047,6280.4599609375,20630.66015625
2025-07-11,225.02000427246094,106.51000213623047,964.8984375,111.45365142822266,109.36000061035156,360.485595703125,69.1378402709961,219.80650329589844,107.07990264892578,159.6999969482422,99.86912536621094,93.6172866821289,6259.75,20585.529296875
2025-07-14,225.69000244140625,107.44000244140625,975.4191284179688,112.68501281738281,108.62999725341797,360.5245361328125,70.79329681396484,218.10986328125,105.46632385253906,164.5399932861328,100.47270965576172,94.98583984375,6268.56005859375,20640.330078125
2025-07-15,226.35000610351562,105.41000366210938,962.2632446289062,111.53245544433594,106.55000305175781,349.35162353515625,70.4112777709961,210.86241149902344,106.4859390258789,164.64999389648438,97.92424011230469,94.59907531738281,6243.759765625,20677.80078125
2025-07-16,223.19000244140625,104.01000213623047,946.0445556640625,110.89215087890625,106.62000274658203,348.1437072753906,70.44065856933594,212.42176818847656,107.26799011230469,167.27000427246094,97.09072875976562,94.36105346679688,6263.7001953125,20730.490234375
2025-07-17,223.8800048828125,105.18000030517578,948.5703125,107.6019287109375,108.1500015258789,349.7412414550781,70.74433135986328,214.36355590820312,110.22785186767578,169.61000061035156,99.30386352539062,94.30155181884766,6297.35986328125,20885.650390625
