Price,Close,High,Low,Open,Volume
Ticker,LOW,LOW,LOW,LOW,LOW
Date,,,,,
2021-05-10,192.19073486328125,195.74696261313272,189.64407521464088,190.5808800255276,4476900
2021-05-11,186.76095581054688,190.69009144592516,183.01373539687464,189.18937413594753,4449200
2021-05-12,177.84762573242188,185.51489047388552,177.17458946993108,184.814555829501,5406600
2021-05-13,182.21331787109375,184.40526541717335,179.72124079878606,179.93042660979302,4494000
2021-05-14,180.91275024414062,183.92326128230746,179.37565817252474,183.45941076125564,3743000
2021-05-17,176.56524658203125,180.72174869718654,174.74620529896308,179.7576590376698,5798800
2021-05-18,175.31005859375,178.26599991893644,174.37325368402225,176.4469591034371,5691500
2021-05-19,173.46376037597656,174.30960782580146,169.5164445204293,172.39051891050914,6797900
2021-05-20,175.91038513183594,177.2564717534964,174.06405939727298,174.40966779312845,4397700
2021-05-21,175.05540466308594,178.14776868670643,174.01855189016086,176.76530757492694,4032700
2021-05-24,173.40919494628906,176.0104243277061,173.27275853408463,175.75575967874352,3396200
2021-05-25,175.5556640625,175.83761321829766,173.3637161610926,173.8730454590732,4089300
2021-05-26,176.08316040039062,176.67434312727926,175.10087667283415,175.16453588613615,3565600
2021-05-27,176.23777770996094,177.9203821795358,176.05587639949073,176.75619713871004,5126500
2021-05-28,177.2018585205078,179.93950988700712,177.06542213566092,179.17551609331147,3619400
2021-06-01,174.49151611328125,178.35697829669817,174.20955309634763,177.35650018030583,4105600
2021-06-02,173.50921630859375,175.70114999737058,172.86345069692564,174.90078145617198,3997700
2021-06-03,173.0817413330078,173.56378605268193,171.42640748191516,172.80888242722347,3469200
2021-06-04,172.72703552246094,174.07312193009724,171.25360292616696,173.1545112529571,4210500
2021-06-07,173.03628540039062,173.81847363196647,171.48099914663342,172.76342645855118,2913500
2021-06-08,174.08221435546875,175.25550354668434,173.03627135453246,173.8639383222611,3604600
2021-06-09,173.35462951660156,175.08271308145711,173.13633957947107,174.62795278773905,3638900
2021-06-10,171.69927978515625,174.30959919290302,170.39867212482494,173.6001743094166,3905800
2021-06-11,173.5456085205078,174.34599102060093,172.17223752892232,172.6997610968763,3127800
2021-06-14,172.49964904785156,173.26364288255462,171.18084719262305,172.91802067620685,3257700
2021-06-15,170.8807373046875,172.4905787982839,169.85297457041816,172.32687174938252,4472600
2021-06-16,169.3527374267578,171.17177867490383,167.8793184567782,170.9898773257259,4175800
2021-06-17,169.93479919433594,171.13537286149926,167.77014993951786,169.62556556910204,4260900
2021-06-18,169.97119140625,170.89889230171931,167.7974380184893,168.01571405122036,9316900
2021-06-21,171.7902374267578,173.30003091765164,170.70790580529032,170.9625704364378,4539400
2021-06-22,174.373291015625,175.2464230222128,172.4178272715897,172.73615115554406,3995700
2021-06-23,173.84576416015625,174.7825692529818,173.5820092967574,173.85485436986562,2835900
2021-06-24,174.40057373046875,175.61932799448363,173.65476018258383,175.24642122054115,2767800
2021-06-25,175.2282257080078,175.4101270353272,173.90031965003112,174.73707685824564,4149500
2021-06-28,175.72848510742188,176.601617130893,174.0640607073374,175.16457288582254,2510600
2021-06-29,176.62887573242188,178.12959286230844,175.57382863714062,175.57382863714062,2628800
2021-06-30,176.41966247558594,177.59293761454094,176.310524475175,176.5651890615866,2715900
2021-07-01,178.10231018066406,178.3569748092787,176.31055369336585,176.90173646446812,2456300
2021-07-02,178.00228881835938,178.73899830903844,177.54752850281096,178.62075618597714,2553000
2021-07-06,177.12913513183594,178.61165813647392,175.33737845696146,178.08413452820898,2588300
2021-07-07,178.15687561035156,178.68439915279177,175.80120702572452,176.14682924826354,3647100
2021-07-08,175.35556030273438,176.5834046867256,173.86394719424942,175.89217408266052,3993600
2021-07-09,177.65667724609375,178.94819495471774,176.61072013037543,176.61072013037543,2436300
2021-07-12,177.87490844726562,178.64799244800457,176.72890387954246,177.26551757620473,2405600
2021-07-13,176.7016143798828,178.4024130115778,176.21047949202253,178.2023174221808,3191900
2021-07-14,175.3009796142578,177.72029350641787,175.17364730414414,177.511107685127,2943300
2021-07-15,178.0386505126953,178.2023575527886,174.19138241049598,174.19138241049598,3188000
2021-07-16,178.3933563232422,180.86725327681867,178.1023169700942,179.12097552338503,4920700
2021-07-19,175.4464874267578,176.14682205185565,172.84525841171788,174.60973028685288,5214000
